Model,Epoch,Train Loss,Train Accuracy (%),Val Loss,Val Accuracy (%)
MultispectralCNN,1,1.2429,72.17,1.4446,66.96
MultispectralCNN,2,0.9011,85.46,0.8776,86.22
MultispectralCNN,3,0.7698,90.65,0.7344,90.79
MultispectralCNN,4,0.7261,92.01,1.0626,81.73
MultispectralCNN,5,0.7061,92.81,0.8517,86.64
MultispectralCNN,6,0.6734,93.94,0.7023,92.52
MultispectralCNN,7,0.6655,94.09,0.6981,92.89
MultispectralCNN,8,0.6464,94.94,1.0018,83.11
MultispectralCNN,9,0.64,95.23,0.6984,90.84
MultispectralCNN,10,0.6217,95.85,0.6279,94.91
MultispectralCNN,11,0.615,96.16,0.6203,95.23
MultispectralCNN,12,0.6059,96.34,0.6304,94.37
MultispectralCNN,13,0.6055,96.34,0.6389,94.42
MultispectralCNN,14,0.6019,96.57,0.6096,95.43
MultispectralCNN,15,0.5971,96.7,0.6491,94.05
MultispectralCNN,16,0.5905,96.99,0.6247,94.81
MultispectralCNN,17,0.5881,96.89,0.6357,94.44
MultispectralCNN,18,0.581,97.3,0.6518,93.83
MultispectralCNN,19,0.5809,97.17,0.7383,89.51
MultispectralCNN,20,0.5825,97.22,0.6689,94.22
MultispectralCNN,21,0.5696,97.72,0.5976,95.8
MultispectralCNN,22,0.5681,97.78,0.5951,96.27
MultispectralCNN,23,0.5657,97.95,0.6147,95.7
MultispectralCNN,24,0.5623,97.96,0.6039,96.17
MultispectralCNN,25,0.5594,98.15,0.5779,96.79
MultispectralCNN,26,0.5556,98.21,0.5723,97.19
MultispectralCNN,27,0.5554,98.26,0.6555,93.63
MultispectralCNN,28,0.552,98.3,0.5845,96.59
MultispectralCNN,29,0.5516,98.37,0.5687,97.46
MultispectralCNN,30,0.5473,98.52,0.6628,93.19
MultispectralCNN,31,0.5473,98.58,0.5701,97.06
MultispectralCNN,32,0.5437,98.62,0.565,97.46
MultispectralCNN,33,0.543,98.63,0.5703,97.31
MultispectralCNN,34,0.5409,98.74,0.5576,97.6
MultispectralCNN,35,0.5387,98.84,0.5491,97.78
MultispectralCNN,36,0.5384,98.82,0.5435,98.35
MultispectralCNN,37,0.5335,99.12,0.5522,97.83
MultispectralCNN,38,0.5337,99.05,0.5452,98.3
MultispectralCNN,39,0.5301,99.22,0.5434,98.17
MultispectralCNN,40,0.5291,99.21,0.5688,97.33
MultispectralCNN,41,0.5306,99.08,0.5433,98.35
MultispectralCNN,42,0.5262,99.35,0.5467,98.1
MultispectralCNN,43,0.525,99.31,0.5415,98.49
MultispectralCNN,44,0.523,99.42,0.5358,98.52
MultispectralCNN,45,0.5231,99.38,0.5415,98.4
MultispectralCNN,46,0.5231,99.39,0.5397,98.37
MultispectralCNN,47,0.5205,99.51,0.5339,98.59
MultispectralCNN,48,0.5198,99.56,0.5323,98.72
MultispectralCNN,49,0.5181,99.66,0.5333,98.69
MultispectralCNN,50,0.5189,99.62,0.5313,98.67
MultispectralCNN,51,0.5168,99.65,0.5311,98.84
MultispectralCNN,52,0.5162,99.73,0.5305,98.86
MultispectralCNN,53,0.5159,99.74,0.5315,98.72
MultispectralCNN,54,0.5147,99.77,0.528,98.99
MultispectralCNN,55,0.5149,99.73,0.5305,98.74
MultispectralCNN,56,0.515,99.74,0.5289,98.81
MultispectralCNN,57,0.5152,99.72,0.5305,98.91
MultispectralCNN,58,0.5138,99.84,0.5296,98.79
MultispectralCNN,59,0.5144,99.74,0.5306,98.79
MultispectralCNN,60,0.5143,99.78,0.5292,98.86
